"","CNTRYID","CNT","CNTSCHID","CNTSTUID","CYC","NatCen","STRATUM","SUBNATIO","OECD","BOOKID","ST001D01T","ST003D02T","ST003D03T","ST004D01T","ST005Q01TA","ST007Q01TA","ST011Q04TA","ST154Q01HA","IC001Q01TA","IC001Q02TA","IC001Q03TA","IC001Q04TA","IC001Q05TA","IC001Q07TA","IC009Q01TA","IC009Q02TA","IC009Q03TA","IC009Q05NA","IC009Q06NA","IC002Q01HA","IC004Q01HA","ST013Q01TA","MISCED","FISCED","HISCED","PARED","MISCED_D","FISCED_D","HISCED_D","PAREDINT","HISEI","MMINS","LMINS","SMINS","TMINS","STUBMI","ESCS","ICTHOME","ICTSCH","HEDRES","WEALTH","ICTRES","EMOSUPS","STIMREAD","ADAPTIVITY","BODYIMA","SOCONPA","PVMATH","PVREAD","PVSCIE","W_FSTUWT"
"391",484,"MEX",48400015,48405838,"07MS","048400","MEX0007","4840000",1,9,10,4,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.9833,393.539,435.5761,133.08226
"392",484,"MEX",48400015,48406070,"07MS","048400","MEX0007","4840000",1,5,10,4,2002,1,3,4,2,2,3,3,2,3,3,1,3,3,2,3,3,5,5,2,2,1,2,9,2,1,2,9,17,NA,NA,NA,NA,NA,-2.2541,5,2,-1.6618,-1.4432,-2.2529,1.0346,0.2464,2.0073,0.5711,0.9078,365.9295,392.2985,360.819,142.51067
"393",484,"MEX",48400015,48406653,"07MS","048400","MEX0007","4840000",1,2,10,7,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.5651,373.5897,416.3401,133.08226
"394",484,"MEX",48400015,48406958,"07MS","048400","MEX0007","4840000",1,8,10,2,2002,1,1,5,1,2,1,1,1,1,3,1,1,1,1,3,1,5,4,1,5,0,5,14,5,0,5,14.5,16.5,NA,NA,NA,NA,NA,-1.1267,8,6,-0.6853,-0.8643,-1.2275,1.0346,-0.8885,0.7368,1.3115,0.3691,326.901,349.8492,342.8181,142.51067
"395",484,"MEX",48400015,48407170,"07MS","048400","MEX0007","4840000",1,19,10,12,2002,1,2,1,1,2,1,3,3,1,3,1,2,3,3,2,2,2,2,6,6,6,6,16,6,6,6,16,66.42,250,250,0,1650,26.37,0.384,4,4,-0.6853,-1.1596,-0.6068,0.6364,0.9261,0.7368,-1.6672,-1.6926,473.0637,503.2582,516.1713,142.51067
"396",484,"MEX",48400015,48407202,"07MS","048400","MEX0007","4840000",1,10,10,7,2002,2,3,3,1,2,1,3,3,1,2,1,2,3,3,2,2,3,4,1,2,2,2,9,2,2,2,9,44.14,NA,NA,NA,NA,26.03,-1.6541,5,7,-0.6853,-1.7133,-1.4787,NA,0.5135,0.5464,1.0044,-0.3986,435.9544,434.4034,466.1274,133.08226
"397",484,"MEX",48400015,48407380,"07MS","048400","MEX0007","4840000",1,22,10,4,2002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.6825,434.3113,493.4539,133.08226
"398",484,"MEX",48400015,48407489,"07MS","048400","MEX0007","4840000",1,31,10,10,2002,2,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,9,2,1,2,9,41.27,150,150,0,550,NA,-2.6736,2,1,-3.0862,-3.6791,-3.768,-0.6576,0.1526,1.323,1.3115,-1.0299,435.2016,425.777,495.463,133.08226
"399",484,"MEX",48400015,48408182,"07MS","048400","MEX0007","4840000",1,23,10,12,2002,2,3,3,2,2,NA,1,1,1,3,1,3,3,NA,3,1,2,4,2,2,2,2,9,2,2,2,9,35.34,NA,NA,NA,NA,NA,-1.6164,6,2,-1.3904,-1.4729,-1.2275,NA,0.7904,2.0073,-0.5183,0.9078,371.8302,369.2724,400.3511,133.08226
"400",484,"MEX",48400016,48400075,"07MS","048400","MEX0007","4840000",1,16,10,10,2002,1,3,1,1,5,1,2,3,1,NA,1,1,3,3,1,1,3,2,3,5,6,6,16,5,6,6,16,75.5,250,300,400,1350,18.37,0.4393,6,7,-0.1357,-0.9753,-0.349,1.0346,-0.8036,-0.9282,1.8425,0.3691,529.0549,576.1905,531.6949,266.56627
